iter	RMSE
0	15.94990093
1	15.24233955
2	14.64830311
3	14.13485797
4	13.69978152
5	13.34854488
6	12.88631991
7	12.47151793
8	12.15619746
9	11.82279412
10	11.49471541
11	11.25321202
12	11.02616293
13	10.81986252
14	10.64734458
15	10.44902395
16	10.27330099
17	10.0771033
18	9.903258608
19	9.773149335
20	9.675599437
21	9.552681822
22	9.471400271
23	9.31058168
24	9.19904882
25	9.12159847
26	9.012661205
27	8.972437026
28	8.847368702
29	8.775441182
30	8.717841144
31	8.634228992
32	8.549772066
33	8.468259411
34	8.399616654
35	8.342689963
36	8.290940626
37	8.199661736
38	8.159517313
39	8.148636196
40	8.077832277
41	7.997046476
42	7.942486758
43	7.875707809
44	7.829868298
45	7.771041316
46	7.71843257
47	7.674013882
48	7.625897752
49	7.566913429
50	7.515428779
51	7.488294708
52	7.435723628
53	7.39624003
54	7.345406439
55	7.320264257
56	7.280196951
57	7.235209288
58	7.187865825
59	7.139744004
60	7.109130254
61	7.06447581
62	7.02636546
63	6.998449135
64	6.959510541
65	6.904510143
66	6.875026851
67	6.844066424
68	6.804199787
69	6.769175311
70	6.745964665
71	6.709417022
72	6.66497392
73	6.631683231
74	6.600720937
75	6.562148678
76	6.507825173
77	6.47427495
78	6.419687845
79	6.395926656
80	6.358865364
81	6.315803294
82	6.274230734
83	6.244201492
84	6.211008449
85	6.189802632
86	6.153143974
87	6.127054227
88	6.114178732
89	6.079677593
90	6.051897034
91	6.01790781
92	5.978339596
93	5.963837078
94	5.955551901
95	5.922195996
96	5.887184551
97	5.857793056
98	5.835440803
99	5.825371898
100	5.817865011
101	5.797369448
102	5.771341431
103	5.746058317
104	5.728360473
105	5.70993646
106	5.68665047
107	5.664118125
108	5.640037674
109	5.621893235
110	5.594992202
111	5.585988878
112	5.572122829
113	5.549547212
114	5.520220601
115	5.511613718
116	5.499263469
117	5.477487093
118	5.459598565
119	5.444877397
120	5.427949862
121	5.404974285
122	5.371859397
123	5.343260952
124	5.332922521
125	5.299027857
126	5.276269173
127	5.246859779
128	5.221644903
129	5.202435277
130	5.183801078
131	5.170076805
132	5.158805921
133	5.149094957
134	5.14071138
135	5.115426444
136	5.100046004
137	5.086058418
138	5.070390633
139	5.053963137
140	5.041309174
141	5.028163128
142	5.019197437
143	5.01075894
144	4.99016674
145	4.982370677
146	4.974159876
147	4.966623601
148	4.959339263
149	4.945291698
