iter	Passed	Remaining
0	62	9370
1	63	4684
2	64	3183
3	68	2495
4	71	2065
5	74	1793
6	78	1593
7	79	1405
8	80	1266
9	83	1171
10	86	1089
11	87	1001
12	87	920
13	89	872
14	92	830
15	94	791
16	97	762
17	99	731
18	102	704
19	104	679
20	106	656
21	109	635
22	109	607
23	112	591
24	114	574
25	115	551
26	118	538
27	118	516
28	120	504
29	123	492
30	125	481
31	127	471
32	130	461
33	132	452
34	134	443
35	137	434
36	139	425
37	141	417
38	144	410
39	144	397
40	146	390
41	149	383
42	151	376
43	153	370
44	156	364
45	158	358
46	160	352
47	163	347
48	165	341
49	168	336
50	170	331
51	171	323
52	173	318
53	176	313
54	178	308
55	179	301
56	181	296
57	184	291
58	186	287
59	188	283
60	190	278
61	193	274
62	196	270
63	196	264
64	198	260
65	201	255
66	203	252
67	205	248
68	208	244
69	210	240
70	212	236
71	215	233
72	217	229
73	219	225
74	222	222
75	224	218
76	226	214
77	229	211
78	231	208
79	234	204
80	236	201
81	238	197
82	241	194
83	243	191
84	245	187
85	248	184
86	250	181
87	252	178
88	255	175
89	257	171
90	260	168
91	263	165
92	265	162
93	267	159
94	270	156
95	272	153
96	274	150
97	277	147
98	279	144
99	281	140
100	284	137
101	286	134
102	289	131
103	291	128
104	293	125
105	296	122
106	298	119
107	300	116
108	302	113
109	305	111
110	307	108
111	309	105
112	312	102
113	314	99
114	317	96
115	319	93
116	321	90
117	324	87
118	326	85
119	328	82
120	331	79
121	333	76
122	335	73
123	338	70
124	340	68
125	342	65
126	345	62
127	347	59
128	349	56
129	352	54
130	354	51
131	356	48
132	359	45
133	361	43
134	363	40
135	366	37
136	368	34
137	371	32
138	373	29
139	375	26
140	378	24
141	380	21
142	382	18
143	385	16
144	387	13
145	389	10
146	392	8
147	394	5
148	396	2
149	398	0
